position,player_name,salary,league,year,website,game_date
SF,LeBron James,11300,NBA,2014,DK,12/12/2014
PF,Anthony Davis,11200,NBA,2014,DK,12/12/2014
PG,John Wall,10400,NBA,2014,DK,12/12/2014
SF,Kevin Durant,10300,NBA,2014,DK,12/12/2014
PF,Blake Griffin,10300,NBA,2014,DK,12/12/2014
PF,LaMarcus Aldridge,10200,NBA,2014,DK,12/12/2014
PG,Russell Westbrook,10100,NBA,2014,DK,12/12/2014
SF,Carmelo Anthony,10000,NBA,2014,DK,12/12/2014
PG,Chris Paul,10000,NBA,2014,DK,12/12/2014
PG,Kyle Lowry,9800,NBA,2014,DK,12/12/2014
SG,Kobe Bryant,9500,NBA,2014,DK,12/12/2014
PF,Pau Gasol,9200,NBA,2014,DK,12/12/2014
PG,Michael Carter-Williams,9100,NBA,2014,DK,12/12/2014
PG,Kyrie Irving,9000,NBA,2014,DK,12/12/2014
PF,Paul Millsap,8900,NBA,2014,DK,12/12/2014
PF,Kevin Love,8800,NBA,2014,DK,12/12/2014
PG,Damian Lillard,8700,NBA,2014,DK,12/12/2014
PF,Tim Duncan,8600,NBA,2014,DK,12/12/2014
C,Marc Gasol,8500,NBA,2014,DK,12/12/2014
C,Andre Drummond,8400,NBA,2014,DK,12/12/2014
SG,Eric Bledsoe,8300,NBA,2014,DK,12/12/2014
PG,Deron Williams,8200,NBA,2014,DK,12/12/2014
C,Chris Bosh,8200,NBA,2014,DK,12/12/2014
PG,Rajon Rondo,8100,NBA,2014,DK,12/12/2014
C,Nikola Vucevic,8100,NBA,2014,DK,12/12/2014
C,Al Jefferson,7900,NBA,2014,DK,12/12/2014
PG,Jeff Teague,7900,NBA,2014,DK,12/12/2014
PG,Goran Dragic,7800,NBA,2014,DK,12/12/2014
PG,Jrue Holiday,7800,NBA,2014,DK,12/12/2014
SF,Kawhi Leonard,7800,NBA,2014,DK,12/12/2014
SG,Dwyane Wade,7700,NBA,2014,DK,12/12/2014
SF,Josh Smith,7700,NBA,2014,DK,12/12/2014
C,DeAndre Jordan,7700,NBA,2014,DK,12/12/2014
PG,Kemba Walker,7700,NBA,2014,DK,12/12/2014
SF,Gordon Hayward,7500,NBA,2014,DK,12/12/2014
PG,Mike Conley,7400,NBA,2014,DK,12/12/2014
PF,Derrick Favors,7400,NBA,2014,DK,12/12/2014
PG,Ricky Rubio,7400,NBA,2014,DK,12/12/2014
C,Roy Hibbert,7300,NBA,2014,DK,12/12/2014
C,Marcin Gortat,7200,NBA,2014,DK,12/12/2014
PF,Greg Monroe,7200,NBA,2014,DK,12/12/2014
PF,Zach Randolph,7100,NBA,2014,DK,12/12/2014
SG,DeMar DeRozan,7100,NBA,2014,DK,12/12/2014
PF,Jared Sullinger,7100,NBA,2014,DK,12/12/2014
C,Gorgui Dieng,7100,NBA,2014,DK,12/12/2014
PG,Tony Parker,7000,NBA,2014,DK,12/12/2014
C,Joakim Noah,7000,NBA,2014,DK,12/12/2014
PF,Thaddeus Young,7000,NBA,2014,DK,12/12/2014
SG,Tyreke Evans,7000,NBA,2014,DK,12/12/2014
SG,Lance Stephenson,7000,NBA,2014,DK,12/12/2014
PF,Serge Ibaka,6900,NBA,2014,DK,12/12/2014
SG,Jimmy Butler,6900,NBA,2014,DK,12/12/2014
PG,Brandon Jennings,6900,NBA,2014,DK,12/12/2014
C,Al Horford,6800,NBA,2014,DK,12/12/2014
C,Brook Lopez,6800,NBA,2014,DK,12/12/2014
SF,Nicolas Batum,6700,NBA,2014,DK,12/12/2014
SF,Tobias Harris,6700,NBA,2014,DK,12/12/2014
PF,Markieff Morris,6600,NBA,2014,DK,12/12/2014
SG,Joe Johnson,6500,NBA,2014,DK,12/12/2014
PF,David West,6500,NBA,2014,DK,12/12/2014
SF,Jeff Green,6500,NBA,2014,DK,12/12/2014
PG,Derrick Rose,6500,NBA,2014,DK,12/12/2014
C,Jordan Hill,6300,NBA,2014,DK,12/12/2014
SG,Victor Oladipo,6300,NBA,2014,DK,12/12/2014
C,Enes Kanter,6200,NBA,2014,DK,12/12/2014
PG,George Hill,6100,NBA,2014,DK,12/12/2014
SG,Wesley Matthews,6000,NBA,2014,DK,12/12/2014
SG,Danny Green,6000,NBA,2014,DK,12/12/2014
PG,Reggie Jackson,6000,NBA,2014,DK,12/12/2014
PF,Amar'e Stoudemire,5900,NBA,2014,DK,12/12/2014
PF,Taj Gibson,5900,NBA,2014,DK,12/12/2014
SF,K.J. McDaniels,5900,NBA,2014,DK,12/12/2014
PG,Isaiah Thomas,5800,NBA,2014,DK,12/12/2014
SG,Bradley Beal,5800,NBA,2014,DK,12/12/2014
PG,Tony Wroten,5800,NBA,2014,DK,12/12/2014
SF,DeMarre Carroll,5700,NBA,2014,DK,12/12/2014
SF,Corey Brewer,5700,NBA,2014,DK,12/12/2014
PG,Mario Chalmers,5700,NBA,2014,DK,12/12/2014
PF,Ryan Anderson,5700,NBA,2014,DK,12/12/2014
C,Omer Asik,5700,NBA,2014,DK,12/12/2014
SG,Kyle Korver,5600,NBA,2014,DK,12/12/2014
PG,Mo Williams,5600,NBA,2014,DK,12/12/2014
SG,Alec Burks,5600,NBA,2014,DK,12/12/2014
PF,Mirza Teletovic,5600,NBA,2014,DK,12/12/2014
PF,Nerlens Noel,5600,NBA,2014,DK,12/12/2014
SG,Kevin Martin,5500,NBA,2014,DK,12/12/2014
SG,J.R. Smith,5500,NBA,2014,DK,12/12/2014
C,Jonas Valanciunas,5500,NBA,2014,DK,12/12/2014
PF,Tristan Thompson,5400,NBA,2014,DK,12/12/2014
PG,Zach LaVine,5400,NBA,2014,DK,12/12/2014
SF,Andrew Wiggins,5400,NBA,2014,DK,12/12/2014
PF,Kris Humphries,5300,NBA,2014,DK,12/12/2014
PF,Amir Johnson,5300,NBA,2014,DK,12/12/2014
C,Robin Lopez,5300,NBA,2014,DK,12/12/2014
PG,Cory Joseph,5300,NBA,2014,DK,12/12/2014
PF,Carlos Boozer,5200,NBA,2014,DK,12/12/2014
SG,Eric Gordon,5200,NBA,2014,DK,12/12/2014
C,Henry Sims,5200,NBA,2014,DK,12/12/2014
PG,Trey Burke,5200,NBA,2014,DK,12/12/2014
SF,Paul Pierce,5100,NBA,2014,DK,12/12/2014
PF,Channing Frye,5100,NBA,2014,DK,12/12/2014
SF,Luol Deng,5100,NBA,2014,DK,12/12/2014
C,Anderson Varejao,5100,NBA,2014,DK,12/12/2014
SG,Manu Ginobili,5000,NBA,2014,DK,12/12/2014
SG,Jamal Crawford,5000,NBA,2014,DK,12/12/2014
SG,Rodney Stuckey,5000,NBA,2014,DK,12/12/2014
PG,Jose Calderon,5000,NBA,2014,DK,12/12/2014
PF,Ed Davis,5000,NBA,2014,DK,12/12/2014
C,Tyler Zeller,5000,NBA,2014,DK,12/12/2014
PF,Nikola Mirotic,5000,NBA,2014,DK,12/12/2014
SG,Evan Fournier,5000,NBA,2014,DK,12/12/2014
PF,Boris Diaw,4900,NBA,2014,DK,12/12/2014
SG,Nick Young,4900,NBA,2014,DK,12/12/2014
PG,Jeremy Lin,4900,NBA,2014,DK,12/12/2014
C,Nikola Pekovic,4900,NBA,2014,DK,12/12/2014
C,Kyle O'Quinn,4900,NBA,2014,DK,12/12/2014
C,Mason Plumlee,4900,NBA,2014,DK,12/12/2014
PG,Greivis Vasquez,4800,NBA,2014,DK,12/12/2014
SG,Kentavious Caldwell-Pope,4800,NBA,2014,DK,12/12/2014
PF,Julius Randle,4800,NBA,2014,DK,12/12/2014
PF,Kevin Garnett,4700,NBA,2014,DK,12/12/2014
SG,Gerald Green,4700,NBA,2014,DK,12/12/2014
SG,Lou Williams,4700,NBA,2014,DK,12/12/2014
SG,Marco Belinelli,4700,NBA,2014,DK,12/12/2014
PF,Luis Scola,4600,NBA,2014,DK,12/12/2014
PF,Josh McRoberts,4600,NBA,2014,DK,12/12/2014
PG,D.J. Augustin,4600,NBA,2014,DK,12/12/2014
PF,Patrick Patterson,4600,NBA,2014,DK,12/12/2014
C,Chris Kaman,4500,NBA,2014,DK,12/12/2014
PF,Nene Hilario,4500,NBA,2014,DK,12/12/2014
SF,Mike Dunleavy,4500,NBA,2014,DK,12/12/2014
SF,Evan Turner,4500,NBA,2014,DK,12/12/2014
SF,Terrence Ross,4500,NBA,2014,DK,12/12/2014
PF,Cody Zeller,4500,NBA,2014,DK,12/12/2014
PG,Jarrett Jack,4400,NBA,2014,DK,12/12/2014
SF,Luc Richard Mbah a Moute,4400,NBA,2014,DK,12/12/2014
SF,Wesley Johnson,4400,NBA,2014,DK,12/12/2014
SG,J.J. Redick,4300,NBA,2014,DK,12/12/2014
SF,P.J. Tucker,4300,NBA,2014,DK,12/12/2014
SF,Solomon Hill,4300,NBA,2014,DK,12/12/2014
SG,Avery Bradley,4300,NBA,2014,DK,12/12/2014
SG,Tim Hardaway Jr.,4200,NBA,2014,DK,12/12/2014
PG,Elfrid Payton,4200,NBA,2014,DK,12/12/2014
C,Rudy Gobert,4200,NBA,2014,DK,12/12/2014
PF,Aaron Gordon,4200,NBA,2014,DK,12/12/2014
SF,Tony Allen,4100,NBA,2014,DK,12/12/2014
PF,Brandon Bass,4100,NBA,2014,DK,12/12/2014
SG,Courtney Lee,4100,NBA,2014,DK,12/12/2014
C,Spencer Hawes,4100,NBA,2014,DK,12/12/2014
SF,James Johnson,4100,NBA,2014,DK,12/12/2014
SG,Iman Shumpert,4100,NBA,2014,DK,12/12/2014
C,Miles Plumlee,4100,NBA,2014,DK,12/12/2014
PF,Marcus Morris,4100,NBA,2014,DK,12/12/2014
SG,Jeremy Lamb,4100,NBA,2014,DK,12/12/2014
SF,Bojan Bogdanovic,4100,NBA,2014,DK,12/12/2014
C,Samuel Dalembert,4000,NBA,2014,DK,12/12/2014
SF,Matt Barnes,4000,NBA,2014,DK,12/12/2014
PG,C.J. Watson,4000,NBA,2014,DK,12/12/2014
PF,Andrea Bargnani,4000,NBA,2014,DK,12/12/2014
SG,Gerald Henderson,4000,NBA,2014,DK,12/12/2014
SF,Michael Kidd-Gilchrist,4000,NBA,2014,DK,12/12/2014
SF,Shabazz Muhammad,4000,NBA,2014,DK,12/12/2014
C,Jerome Jordan,3900,NBA,2014,DK,12/12/2014
C,Kelly Olynyk,3900,NBA,2014,DK,12/12/2014
PG,Alexey Shved,3900,NBA,2014,DK,12/12/2014
PG,Marcus Smart,3900,NBA,2014,DK,12/12/2014
SF,Chris Copeland,3800,NBA,2014,DK,12/12/2014
SF,C.J. Miles,3800,NBA,2014,DK,12/12/2014
SF,Kyle Singler,3800,NBA,2014,DK,12/12/2014
PF,Robert Covington,3800,NBA,2014,DK,12/12/2014
SG,Alan Anderson,3700,NBA,2014,DK,12/12/2014
PG,Ronnie Price,3700,NBA,2014,DK,12/12/2014
SG,Jodie Meeks,3700,NBA,2014,DK,12/12/2014
SG,Dion Waiters,3700,NBA,2014,DK,12/12/2014
PG,Shabazz Napier,3700,NBA,2014,DK,12/12/2014
C,Steven Adams,3700,NBA,2014,DK,12/12/2014
PF,Anthony Bennett,3700,NBA,2014,DK,12/12/2014
SG,Gary Neal,3600,NBA,2014,DK,12/12/2014
SF,Shawne Williams,3600,NBA,2014,DK,12/12/2014
SF,Hollis Thompson,3600,NBA,2014,DK,12/12/2014
SF,Shawn Marion,3500,NBA,2014,DK,12/12/2014
PG,Kirk Hinrich,3500,NBA,2014,DK,12/12/2014
SF,Marvin Williams,3500,NBA,2014,DK,12/12/2014
SF,Martell Webster,3500,NBA,2014,DK,12/12/2014
PG,Dennis Schroder,3500,NBA,2014,DK,12/12/2014
PF,Ronny Turiaf,3400,NBA,2014,DK,12/12/2014
SF,Caron Butler,3400,NBA,2014,DK,12/12/2014
PG,Norris Cole,3400,NBA,2014,DK,12/12/2014
SG,Andre Roberson,3400,NBA,2014,DK,12/12/2014
PG,Austin Rivers,3400,NBA,2014,DK,12/12/2014
SF,Kyle Anderson,3400,NBA,2014,DK,12/12/2014
SG,Anthony Morrow,3300,NBA,2014,DK,12/12/2014
SF,Austin Daye,3300,NBA,2014,DK,12/12/2014
SF,Doug McDermott,3300,NBA,2014,DK,12/12/2014
C,Dewayne Dedmon,3300,NBA,2014,DK,12/12/2014
PF,Trevor Booker,3200,NBA,2014,DK,12/12/2014
SG,Rasual Butler,3100,NBA,2014,DK,12/12/2014
PG,Steve Nash,3000,NBA,2014,DK,12/12/2014
SG,Vince Carter,3000,NBA,2014,DK,12/12/2014
C,Nazr Mohammed,3000,NBA,2014,DK,12/12/2014
C,Elton Brand,3000,NBA,2014,DK,12/12/2014
PG,Andre Miller,3000,NBA,2014,DK,12/12/2014
SF,Andrei Kirilenko,3000,NBA,2014,DK,12/12/2014
SF,Mike Miller,3000,NBA,2014,DK,12/12/2014
SF,Hedo Turkoglu,3000,NBA,2014,DK,12/12/2014
SG,Jason Richardson,3000,NBA,2014,DK,12/12/2014
C,Brendan Haywood,3000,NBA,2014,DK,12/12/2014
SF,Gerald Wallace,3000,NBA,2014,DK,12/12/2014
PF,Matt Bonner,3000,NBA,2014,DK,12/12/2014
C,Nick Collison,3000,NBA,2014,DK,12/12/2014
PG,Steve Blake,3000,NBA,2014,DK,12/12/2014
SG,James Jones,3000,NBA,2014,DK,12/12/2014
SG,Willie Green,3000,NBA,2014,DK,12/12/2014
PG,Luke Ridnour,3000,NBA,2014,DK,12/12/2014
PF,Chuck Hayes,3000,NBA,2014,DK,12/12/2014
SG,Ben Gordon,3000,NBA,2014,DK,12/12/2014
PF,Jason Maxiell,3000,NBA,2014,DK,12/12/2014
PF,Louis Amundson,3000,NBA,2014,DK,12/12/2014
SF,Danny Granger,3000,NBA,2014,DK,12/12/2014
C,Chris Andersen,3000,NBA,2014,DK,12/12/2014
