position,player_name,salary,league,year,website,week
RB,Le'Veon Bell,9600,NFL,2014,DK,15
RB,DeMarco Murray,9500,NFL,2014,DK,15
WR,Calvin Johnson,9400,NFL,2014,DK,15
QB,Andrew Luck,9300,NFL,2014,DK,15
QB,Aaron Rodgers,9200,NFL,2014,DK,15
RB,Arian Foster,9100,NFL,2014,DK,15
RB,Matt Forte,9000,NFL,2014,DK,15
QB,Peyton Manning,8900,NFL,2014,DK,15
RB,Jamaal Charles,8700,NFL,2014,DK,15
WR,Antonio Brown,8700,NFL,2014,DK,15
WR,A.J. Green,8500,NFL,2014,DK,15
QB,Drew Brees,8400,NFL,2014,DK,15
WR,Odell Beckham Jr.,8400,NFL,2014,DK,15
WR,Demaryius Thomas,8300,NFL,2014,DK,15
WR,Alshon Jeffery,8200,NFL,2014,DK,15
QB,Tom Brady,8100,NFL,2014,DK,15
QB,Russell Wilson,8000,NFL,2014,DK,15
WR,T.Y. Hilton,8000,NFL,2014,DK,15
QB,Ben Roethlisberger,7900,NFL,2014,DK,15
WR,Dez Bryant,7900,NFL,2014,DK,15
WR,Jordy Nelson,7800,NFL,2014,DK,15
QB,Matthew Stafford,7800,NFL,2014,DK,15
WR,Julio Jones,7800,NFL,2014,DK,15
RB,C.J. Anderson,7800,NFL,2014,DK,15
TE,Rob Gronkowski,7600,NFL,2014,DK,15
QB,Jay Cutler,7500,NFL,2014,DK,15
WR,Emmanuel Sanders,7500,NFL,2014,DK,15
RB,Eddie Lacy,7500,NFL,2014,DK,15
RB,Justin Forsett,7400,NFL,2014,DK,15
WR,Josh Gordon,7400,NFL,2014,DK,15
QB,Tony Romo,7300,NFL,2014,DK,15
RB,Marshawn Lynch,7300,NFL,2014,DK,15
WR,Randall Cobb,7300,NFL,2014,DK,15
QB,Cam Newton,7200,NFL,2014,DK,15
QB,Joe Flacco,6900,NFL,2014,DK,15
QB,Matt Ryan,6600,NFL,2014,DK,15
RB,LeSean McCoy,6600,NFL,2014,DK,15
WR,Mike Evans,6600,NFL,2014,DK,15
QB,Mark Sanchez,6500,NFL,2014,DK,15
WR,Julian Edelman,6500,NFL,2014,DK,15
QB,Ryan Tannehill,6500,NFL,2014,DK,15
QB,Eli Manning,6400,NFL,2014,DK,15
TE,Jimmy Graham,6300,NFL,2014,DK,15
WR,Golden Tate,6300,NFL,2014,DK,15
QB,Philip Rivers,6200,NFL,2014,DK,15
WR,Kelvin Benjamin,6200,NFL,2014,DK,15
QB,Andy Dalton,6100,NFL,2014,DK,15
WR,Jeremy Maclin,6100,NFL,2014,DK,15
WR,DeAndre Hopkins,6100,NFL,2014,DK,15
RB,Mark Ingram,6000,NFL,2014,DK,15
WR,Keenan Allen,6000,NFL,2014,DK,15
QB,Michael Vick,5900,NFL,2014,DK,15
RB,Rashad Jennings,5900,NFL,2014,DK,15
TE,Martellus Bennett,5900,NFL,2014,DK,15
RB,Joique Bell,5900,NFL,2014,DK,15
QB,Johnny Manziel,5900,NFL,2014,DK,15
QB,Ryan Fitzpatrick,5800,NFL,2014,DK,15
WR,Roddy White,5800,NFL,2014,DK,15
WR,DeSean Jackson,5700,NFL,2014,DK,15
WR,Kenny Stills,5700,NFL,2014,DK,15
QB,Josh McCown,5600,NFL,2014,DK,15
WR,Brandon LaFell,5600,NFL,2014,DK,15
QB,Colt McCoy,5600,NFL,2014,DK,15
QB,Colin Kaepernick,5600,NFL,2014,DK,15
QB,Robert Griffin III,5600,NFL,2014,DK,15
WR,Jordan Matthews,5600,NFL,2014,DK,15
WR,Sammy Watkins,5600,NFL,2014,DK,15
QB,Kyle Orton,5500,NFL,2014,DK,15
QB,Alex Smith,5500,NFL,2014,DK,15
RB,Andre Williams,5500,NFL,2014,DK,15
WR,Jarvis Landry,5500,NFL,2014,DK,15
WR,Vincent Jackson,5400,NFL,2014,DK,15
TE,Greg Olsen,5400,NFL,2014,DK,15
QB,Jake Locker,5400,NFL,2014,DK,15
QB,Nick Foles,5400,NFL,2014,DK,15
QB,Kirk Cousins,5400,NFL,2014,DK,15
QB,Zach Mettenberger,5400,NFL,2014,DK,15
QB,Teddy Bridgewater,5400,NFL,2014,DK,15
WR,Percy Harvin,5200,NFL,2014,DK,15
RB,Fred Jackson,5200,NFL,2014,DK,15
WR,Torrey Smith,5200,NFL,2014,DK,15
QB,Derek Carr,5200,NFL,2014,DK,15
QB,Blake Bortles,5200,NFL,2014,DK,15
WR,Eric Decker,5100,NFL,2014,DK,15
WR,Mike Wallace,5100,NFL,2014,DK,15
QB,Geno Smith,5100,NFL,2014,DK,15
TE,Julius Thomas,5100,NFL,2014,DK,15
QB,Matt Hasselbeck,5000,NFL,2014,DK,15
QB,Jason Campbell,5000,NFL,2014,DK,15
QB,Charlie Whitehurst,5000,NFL,2014,DK,15
QB,Tarvaris Jackson,5000,NFL,2014,DK,15
QB,Derek Anderson,5000,NFL,2014,DK,15
QB,Bruce Gradkowski,5000,NFL,2014,DK,15
QB,Dan Orlovsky,5000,NFL,2014,DK,15
QB,Kellen Clemens,5000,NFL,2014,DK,15
WR,Anquan Boldin,5000,NFL,2014,DK,15
QB,Matt Moore,5000,NFL,2014,DK,15
QB,Matt Flynn,5000,NFL,2014,DK,15
QB,Matt Schaub,5000,NFL,2014,DK,15
QB,Luke McCown,5000,NFL,2014,DK,15
QB,Brian Hoyer,5000,NFL,2014,DK,15
QB,Chad Henne,5000,NFL,2014,DK,15
QB,Josh Johnson,5000,NFL,2014,DK,15
RB,Jonathan Stewart,5000,NFL,2014,DK,15
QB,Joe Webb,5000,NFL,2014,DK,15
QB,Chase Daniel,5000,NFL,2014,DK,15
QB,T.J. Yates,5000,NFL,2014,DK,15
QB,Christian Ponder,5000,NFL,2014,DK,15
QB,Scott Tolzien,5000,NFL,2014,DK,15
QB,Thad Lewis,5000,NFL,2014,DK,15
QB,Jimmy Clausen,5000,NFL,2014,DK,15
QB,Kellen Moore,5000,NFL,2014,DK,15
RB,Alfred Morris,5000,NFL,2014,DK,15
WR,Charles Johnson,5000,NFL,2014,DK,15
QB,Brandon Weeden,5000,NFL,2014,DK,15
QB,Tyrod Taylor,5000,NFL,2014,DK,15
QB,Matt Simms,5000,NFL,2014,DK,15
QB,Landry Jones,5000,NFL,2014,DK,15
WR,Kendall Wright,5000,NFL,2014,DK,15
QB,EJ Manuel,5000,NFL,2014,DK,15
QB,Blaine Gabbert,5000,NFL,2014,DK,15
QB,Sean Renfree,5000,NFL,2014,DK,15
