position,player_name,salary,league,year,website,game_date
PF,Anthony Davis,11200,NBA,2014,FD,12/12/2014
SF,LeBron JamesGTD,10600,NBA,2014,FD,12/12/2014
PG,Chris Paul,10200,NBA,2014,FD,12/12/2014
PG,John Wall,9900,NBA,2014,FD,12/12/2014
PG,Russell Westbrook,9900,NBA,2014,FD,12/12/2014
PF,Blake Griffin,9900,NBA,2014,FD,12/12/2014
PG,Kyle Lowry,9800,NBA,2014,FD,12/12/2014
SF,Kevin Durant,9800,NBA,2014,FD,12/12/2014
PF,LaMarcus Aldridge,9500,NBA,2014,FD,12/12/2014
SF,Carmelo AnthonyGTD,9300,NBA,2014,FD,12/12/2014
PF,Pau GasolGTD,9300,NBA,2014,FD,12/12/2014
SG,Kobe Bryant,9300,NBA,2014,FD,12/12/2014
PG,Michael Carter-Williams,9200,NBA,2014,FD,12/12/2014
C,Marc Gasol,8600,NBA,2014,FD,12/12/2014
C,Al Jefferson,8500,NBA,2014,FD,12/12/2014
C,Chris Bosh,8500,NBA,2014,FD,12/12/2014
C,Nikola VucevicGTD,8500,NBA,2014,FD,12/12/2014
PG,Rajon Rondo,8400,NBA,2014,FD,12/12/2014
PF,Kevin Love,8400,NBA,2014,FD,12/12/2014
PF,Tim DuncanGTD,8400,NBA,2014,FD,12/12/2014
PG,Damian Lillard,8400,NBA,2014,FD,12/12/2014
PF,Paul Millsap,8300,NBA,2014,FD,12/12/2014
PG,Kyrie Irving,8300,NBA,2014,FD,12/12/2014
SG,Eric Bledsoe,8200,NBA,2014,FD,12/12/2014
SG,Jimmy Butler,8000,NBA,2014,FD,12/12/2014
SF,Josh Smith,7900,NBA,2014,FD,12/12/2014
C,Joakim NoahO,7800,NBA,2014,FD,12/12/2014
C,Andre Drummond,7700,NBA,2014,FD,12/12/2014
SG,Dwyane Wade,7700,NBA,2014,FD,12/12/2014
PF,Serge Ibaka,7700,NBA,2014,FD,12/12/2014
SG,DeMar DeRozanO,7600,NBA,2014,FD,12/12/2014
PG,Deron Williams,7600,NBA,2014,FD,12/12/2014
PG,Jrue Holiday,7600,NBA,2014,FD,12/12/2014
SF,Gordon Hayward,7600,NBA,2014,FD,12/12/2014
PF,Zach Randolph,7400,NBA,2014,FD,12/12/2014
C,DeAndre Jordan,7400,NBA,2014,FD,12/12/2014
PG,Kemba Walker,7300,NBA,2014,FD,12/12/2014
SF,Kawhi LeonardGTD,7300,NBA,2014,FD,12/12/2014
PG,Goran Dragic,7300,NBA,2014,FD,12/12/2014
PF,Derrick Favors,7300,NBA,2014,FD,12/12/2014
C,Marcin Gortat,7200,NBA,2014,FD,12/12/2014
SG,Tyreke Evans,7100,NBA,2014,FD,12/12/2014
PF,Markieff Morris,7000,NBA,2014,FD,12/12/2014
PG,Jeff Teague,7000,NBA,2014,FD,12/12/2014
SF,Tobias Harris,7000,NBA,2014,FD,12/12/2014
PG,Mike Conley,6900,NBA,2014,FD,12/12/2014
PG,Ricky RubioO,6800,NBA,2014,FD,12/12/2014
PF,Greg Monroe,6800,NBA,2014,FD,12/12/2014
C,Al Horford,6800,NBA,2014,FD,12/12/2014
PG,Reggie Jackson,6800,NBA,2014,FD,12/12/2014
C,Brook LopezO,6800,NBA,2014,FD,12/12/2014
PG,Tony WrotenGTD,6800,NBA,2014,FD,12/12/2014
SF,Jeff Green,6700,NBA,2014,FD,12/12/2014
PG,Derrick Rose,6700,NBA,2014,FD,12/12/2014
PF,Jared Sullinger,6600,NBA,2014,FD,12/12/2014
SG,Kevin MartinO,6600,NBA,2014,FD,12/12/2014
C,Jordan Hill,6500,NBA,2014,FD,12/12/2014
SG,Victor Oladipo,6500,NBA,2014,FD,12/12/2014
SF,Nicolas Batum,6500,NBA,2014,FD,12/12/2014
C,Nikola PekovicO,6500,NBA,2014,FD,12/12/2014
SG,Lance Stephenson,6400,NBA,2014,FD,12/12/2014
C,Gorgui Dieng,6400,NBA,2014,FD,12/12/2014
SG,Brad Beal,6400,NBA,2014,FD,12/12/2014
PG,Tony ParkerGTD,6300,NBA,2014,FD,12/12/2014
PG,Brandon Jennings,6300,NBA,2014,FD,12/12/2014
PF,Thaddeus Young,6300,NBA,2014,FD,12/12/2014
SG,Joe JohnsonGTD,6200,NBA,2014,FD,12/12/2014
C,Jonas Valanciunas,6200,NBA,2014,FD,12/12/2014
