position,player_name,salary,league,year,website,week
QB,Aaron Rodgers,10200,NFL,2014,FD,15
QB,Andrew Luck,10100,NFL,2014,FD,15
QB,Peyton Manning,9700,NFL,2014,FD,15
RB,Le'Veon Bell,9600,NFL,2014,FD,15
QB,Tom BradyP,9600,NFL,2014,FD,15
WR,Calvin JohnsonP,9400,NFL,2014,FD,15
RB,DeMarco Murray,9300,NFL,2014,FD,15
QB,Drew Brees,9200,NFL,2014,FD,15
RB,Jamaal CharlesQ,9200,NFL,2014,FD,15
WR,Antonio Brown,9100,NFL,2014,FD,15
WR,Demaryius ThomasQ,9000,NFL,2014,FD,15
WR,A.J. Green,9000,NFL,2014,FD,15
RB,Matt Forte,9000,NFL,2014,FD,15
RB,Arian FosterQ,8900,NFL,2014,FD,15
WR,Jordy Nelson,8900,NFL,2014,FD,15
QB,Russell Wilson,8800,NFL,2014,FD,15
WR,T.Y. HiltonP,8800,NFL,2014,FD,15
QB,Ben RoethlisbergerP,8700,NFL,2014,FD,15
RB,Marshawn LynchQ,8700,NFL,2014,FD,15
WR,Julio JonesQ,8700,NFL,2014,FD,15
WR,Emmanuel Sanders,8600,NFL,2014,FD,15
QB,Jay Cutler,8600,NFL,2014,FD,15
WR,Odell Beckham Jr.,8500,NFL,2014,FD,15
WR,Dez Bryant,8500,NFL,2014,FD,15
QB,Matthew Stafford,8500,NFL,2014,FD,15
WR,Randall Cobb,8400,NFL,2014,FD,15
WR,Alshon Jeffery,8400,NFL,2014,FD,15
QB,Tony RomoP,8400,NFL,2014,FD,15
RB,Eddie LacyQ,8400,NFL,2014,FD,15
QB,Andy Dalton,8200,NFL,2014,FD,15
WR,Mike Evans,8200,NFL,2014,FD,15
QB,Philip RiversP,8200,NFL,2014,FD,15
QB,Joe Flacco,8100,NFL,2014,FD,15
RB,LeSean McCoy,8100,NFL,2014,FD,15
QB,Cam NewtonO,8100,NFL,2014,FD,15
WR,Jeremy Maclin,8000,NFL,2014,FD,15
RB,C.J. AndersonQ,8000,NFL,2014,FD,15
