position,player_name,salary,league,year,website,game_date
G,John Wall,11600,NBA,2014,V,12/12/2014
F,Anthony Davis,11300,NBA,2014,V,12/12/2014
F,LeBron James,11300,NBA,2014,V,12/12/2014
G,Russell Westbrook,11300,NBA,2014,V,12/12/2014
G,Chris Paul,10900,NBA,2014,V,12/12/2014
F,Blake Griffin,10700,NBA,2014,V,12/12/2014
G,Kyle Lowry,10500,NBA,2014,V,12/12/2014
F,LaMarcus Aldridge,10400,NBA,2014,V,12/12/2014
F,Pau Gasol,10400,NBA,2014,V,12/12/2014
G,Michael Carter-Williams,10300,NBA,2014,V,12/12/2014
F,Kevin Durant,10100,NBA,2014,V,12/12/2014
G,Kobe Bryant,9900,NBA,2014,V,12/12/2014
C,Marc Gasol,9900,NBA,2014,V,12/12/2014
F,Carmelo Anthony,9800,NBA,2014,V,12/12/2014
G,Eric Bledsoe,9600,NBA,2014,V,12/12/2014
F,Tim Duncan,9600,NBA,2014,V,12/12/2014
G,Damian Lillard,9500,NBA,2014,V,12/12/2014
G,Kyrie Irving,9200,NBA,2014,V,12/12/2014
C,Chris Bosh,9100,NBA,2014,V,12/12/2014
C,Andre Drummond,9100,NBA,2014,V,12/12/2014
C,Al Jefferson,9100,NBA,2014,V,12/12/2014
G,Jrue Holiday,9000,NBA,2014,V,12/12/2014
C,DeAndre Jordan,9000,NBA,2014,V,12/12/2014
F,Kevin Love,8900,NBA,2014,V,12/12/2014
C,Nikola Vucevic,8900,NBA,2014,V,12/12/2014
F,Paul Millsap,8800,NBA,2014,V,12/12/2014
G,Kemba Walker,8700,NBA,2014,V,12/12/2014
G,Rajon Rondo,8600,NBA,2014,V,12/12/2014
G,Dwyane Wade,8500,NBA,2014,V,12/12/2014
G,Mike Conley,8300,NBA,2014,V,12/12/2014
G,Goran Dragic,8300,NBA,2014,V,12/12/2014
F,Josh Smith,8300,NBA,2014,V,12/12/2014
G,Jeff Teague,8300,NBA,2014,V,12/12/2014
G,Deron Williams,8300,NBA,2014,V,12/12/2014
C,Joakim Noah,8200,NBA,2014,V,12/12/2014
G,Jimmy Butler,8100,NBA,2014,V,12/12/2014
C,Marcin Gortat,8100,NBA,2014,V,12/12/2014
F,Gordon Hayward,8100,NBA,2014,V,12/12/2014
F,Kawhi Leonard,8100,NBA,2014,V,12/12/2014
F,Derrick Favors,8000,NBA,2014,V,12/12/2014
C,Brook Lopez,8000,NBA,2014,V,12/12/2014
C,Al Horford,7800,NBA,2014,V,12/12/2014
F,Zach Randolph,7600,NBA,2014,V,12/12/2014
G,Lance Stephenson,7600,NBA,2014,V,12/12/2014
F,Serge Ibaka,7500,NBA,2014,V,12/12/2014
G,Victor Oladipo,7500,NBA,2014,V,12/12/2014
G,DeMar DeRozan,7400,NBA,2014,V,12/12/2014
C,Gorgui Dieng,7400,NBA,2014,V,12/12/2014
F,Tobias Harris,7400,NBA,2014,V,12/12/2014
F,Greg Monroe,7400,NBA,2014,V,12/12/2014
F,Tyreke Evans,7300,NBA,2014,V,12/12/2014
G,Joe Johnson,7300,NBA,2014,V,12/12/2014
F,Markieff Morris,7200,NBA,2014,V,12/12/2014
G,Tony Parker,7100,NBA,2014,V,12/12/2014
G,Derrick Rose,7100,NBA,2014,V,12/12/2014
F,Jared Sullinger,7100,NBA,2014,V,12/12/2014
G,Tony Wroten,7100,NBA,2014,V,12/12/2014
F,Jeff Green,7000,NBA,2014,V,12/12/2014
C,Roy Hibbert,7000,NBA,2014,V,12/12/2014
G,Reggie Jackson,7000,NBA,2014,V,12/12/2014
C,Enes Kanter,7000,NBA,2014,V,12/12/2014
G,Wesley Matthews,7000,NBA,2014,V,12/12/2014
C,Jordan Hill,6900,NBA,2014,V,12/12/2014
G,Brandon Jennings,6900,NBA,2014,V,12/12/2014
C,Jonas Valanciunas,6900,NBA,2014,V,12/12/2014
G,Mo Williams,6900,NBA,2014,V,12/12/2014
F,Thaddeus Young,6900,NBA,2014,V,12/12/2014
G,Alec Burks,6800,NBA,2014,V,12/12/2014
G,Isaiah Thomas,6800,NBA,2014,V,12/12/2014
C,Omer Asik,6700,NBA,2014,V,12/12/2014
F,Nicolas Batum,6700,NBA,2014,V,12/12/2014
G,Danny Green,6700,NBA,2014,V,12/12/2014
G,George Hill,6600,NBA,2014,V,12/12/2014
G,Kyle Korver,6600,NBA,2014,V,12/12/2014
F,Amar'e Stoudemire,6600,NBA,2014,V,12/12/2014
F,Corey Brewer,6500,NBA,2014,V,12/12/2014
F,DeMarre Carroll,6400,NBA,2014,V,12/12/2014
G,Zach LaVine,6400,NBA,2014,V,12/12/2014
F,K.J. McDaniels,6400,NBA,2014,V,12/12/2014
F,David West,6400,NBA,2014,V,12/12/2014
G,Mario Chalmers,6300,NBA,2014,V,12/12/2014
G,Manu Ginobili,6300,NBA,2014,V,12/12/2014
F,Taj Gibson,6200,NBA,2014,V,12/12/2014
F,Nerlens Noel,6200,NBA,2014,V,12/12/2014
G,Rodney Stuckey,6200,NBA,2014,V,12/12/2014
F,Tristan Thompson,6200,NBA,2014,V,12/12/2014
