position,player_name,salary,league,year,website,week
QB,Aaron Rodgers,11200,NFL,2014,V,15
QB,Andrew Luck,10900,NFL,2014,V,15
QB,Drew Brees,10800,NFL,2014,V,15
QB,Peyton Manning,10800,NFL,2014,V,15
QB,Ben Roethlisberger,10600,NFL,2014,V,15
QB,Tony Romo,10600,NFL,2014,V,15
RB,Le'Veon Bell,10200,NFL,2014,V,15
RB,DeMarco Murray,9800,NFL,2014,V,15
QB,Cam Newton,9800,NFL,2014,V,15
QB,Ryan Tannehill,9800,NFL,2014,V,15
QB,Joe Flacco,9700,NFL,2014,V,15
QB,Matthew Stafford,9700,NFL,2014,V,15
QB,Tom Brady,9500,NFL,2014,V,15
RB,Arian Foster,9500,NFL,2014,V,15
QB,Russell Wilson,9400,NFL,2014,V,15
QB,Mark Sanchez,9300,NFL,2014,V,15
QB,Ryan Fitzpatrick,9200,NFL,2014,V,15
RB,Jamaal Charles,9100,NFL,2014,V,15
QB,Philip Rivers,9100,NFL,2014,V,15
QB,Jay Cutler,9000,NFL,2014,V,15
QB,Kyle Orton,9000,NFL,2014,V,15
WR,Antonio Brown,8900,NFL,2014,V,15
QB,Eli Manning,8800,NFL,2014,V,15
QB,Matt Ryan,8800,NFL,2014,V,15
RB,Matt Forte,8700,NFL,2014,V,15
WR,Calvin Johnson,8700,NFL,2014,V,15
WR,Demaryius Thomas,8500,NFL,2014,V,15
QB,Teddy Bridgewater,8300,NFL,2014,V,15
QB,Andy Dalton,8300,NFL,2014,V,15
WR,Josh Gordon,8300,NFL,2014,V,15
QB,Alex Smith,8200,NFL,2014,V,15
RB,Eddie Lacy,8100,NFL,2014,V,15
WR,T.Y. Hilton,7900,NFL,2014,V,15
QB,Johnny Manziel,7700,NFL,2014,V,15
WR,Odell Beckham Jr.,7600,NFL,2014,V,15
QB,Blake Bortles,7500,NFL,2014,V,15
WR,Dez Bryant,7500,NFL,2014,V,15
WR,Julio Jones,7500,NFL,2014,V,15
QB,Colin Kaepernick,7500,NFL,2014,V,15
QB,Derek Carr,7400,NFL,2014,V,15
WR,A.J. Green,7300,NFL,2014,V,15
RB,Marshawn Lynch,7300,NFL,2014,V,15
QB,Robert Griffin III,7200,NFL,2014,V,15
QB,Colt McCoy,7200,NFL,2014,V,15
WR,Golden Tate,7200,NFL,2014,V,15
QB,Jake Locker,7100,NFL,2014,V,15
QB,Josh McCown,7100,NFL,2014,V,15
WR,Emmanuel Sanders,7100,NFL,2014,V,15
QB,Brian Hoyer,7000,NFL,2014,V,15
WR,Mike Evans,6900,NFL,2014,V,15
WR,Alshon Jeffery,6900,NFL,2014,V,15
WR,Jeremy Maclin,6900,NFL,2014,V,15
QB,Zach Mettenberger,6800,NFL,2014,V,15
WR,Jordy Nelson,6800,NFL,2014,V,15
TE,Rob Gronkowski,6700,NFL,2014,V,15
RB,Justin Forsett,6500,NFL,2014,V,15
WR,DeAndre Hopkins,6500,NFL,2014,V,15
RB,C.J. Anderson,6300,NFL,2014,V,15
RB,Joique Bell,6300,NFL,2014,V,15
WR,Randall Cobb,6300,NFL,2014,V,15
QB,Geno Smith,6300,NFL,2014,V,15
WR,Kelvin Benjamin,6000,NFL,2014,V,15
WR,Roddy White,6000,NFL,2014,V,15
WR,Keenan Allen,5900,NFL,2014,V,15
RB,Rashad Jennings,5800,NFL,2014,V,15
DEF, Seahawks,5800,NFL,2014,V,15
WR,Sammy Watkins,5800,NFL,2014,V,15
QB,Charlie Whitehurst,5800,NFL,2014,V,15
WR,Julian Edelman,5700,NFL,2014,V,15
RB,Mark Ingram,5700,NFL,2014,V,15
WR,DeSean Jackson,5700,NFL,2014,V,15
WR,Brandon LaFell,5700,NFL,2014,V,15
RB,Fred Jackson,5600,NFL,2014,V,15
WR,Vincent Jackson,5600,NFL,2014,V,15
RB,LeSean McCoy,5600,NFL,2014,V,15
RB,Andre Williams,5600,NFL,2014,V,15
RB,Alfred Morris,5300,NFL,2014,V,15
RB,Latavius Murray,5300,NFL,2014,V,15
WR,Brandon Marshall,5200,NFL,2014,V,15
RB,Jonathan Stewart,5200,NFL,2014,V,15
RB,Giovani Bernard,5100,NFL,2014,V,15
RB,LeGarrette Blount,5100,NFL,2014,V,15
WR,Anquan Boldin,5100,NFL,2014,V,15
RB,Jeremy Hill,5100,NFL,2014,V,15
RB,Ryan Mathews,5100,NFL,2014,V,15
WR,Jordan Matthews,5100,NFL,2014,V,15
RB,Lamar Miller,5100,NFL,2014,V,15
TE,Jimmy Graham,5000,NFL,2014,V,15
RB,Steven Jackson,5000,NFL,2014,V,15
TE,Greg Olsen,5000,NFL,2014,V,15
WR,Mohamed Sanu,5000,NFL,2014,V,15
WR,Steve Smith Sr.,5000,NFL,2014,V,15
WR,Kenny Stills,5000,NFL,2014,V,15
TE,Martellus Bennett,4900,NFL,2014,V,15
DEF, 49ers,4800,NFL,2014,V,15
QB,Derek Anderson,4800,NFL,2014,V,15
QB,Matt Barkley,4800,NFL,2014,V,15
QB,Jason Campbell,4800,NFL,2014,V,15
QB,Jimmy Clausen,4800,NFL,2014,V,15
QB,Kellen Clemens,4800,NFL,2014,V,15
QB,Kirk Cousins,4800,NFL,2014,V,15
QB,Chase Daniel,4800,NFL,2014,V,15
WR,Malcom Floyd,4800,NFL,2014,V,15
QB,Matt Flynn,4800,NFL,2014,V,15
QB,Nick Foles,4800,NFL,2014,V,15
QB,Blaine Gabbert,4800,NFL,2014,V,15
QB,Jimmy Garoppolo,4800,NFL,2014,V,15
QB,Mike Glennon,4800,NFL,2014,V,15
QB,Bruce Gradkowski,4800,NFL,2014,V,15
QB,Matt Hasselbeck,4800,NFL,2014,V,15
QB,Chad Henne,4800,NFL,2014,V,15
QB,Tarvaris Jackson,4800,NFL,2014,V,15
WR,Andre Johnson,4800,NFL,2014,V,15
QB,Josh Johnson,4800,NFL,2014,V,15
QB,Landry Jones,4800,NFL,2014,V,15
WR,Jarvis Landry,4800,NFL,2014,V,15
QB,Thad Lewis,4800,NFL,2014,V,15
QB,EJ Manuel,4800,NFL,2014,V,15
QB,Luke McCown,4800,NFL,2014,V,15
QB,Matt McGloin,4800,NFL,2014,V,15
QB,Matt Moore,4800,NFL,2014,V,15
QB,Kellen Moore,4800,NFL,2014,V,15
QB,Aaron Murray,4800,NFL,2014,V,15
QB,Ryan Nassib,4800,NFL,2014,V,15
QB,Dan Orlovsky,4800,NFL,2014,V,15
QB,Brock Osweiler,4800,NFL,2014,V,15
QB,Christian Ponder,4800,NFL,2014,V,15
QB,Sean Renfree,4800,NFL,2014,V,15
QB,Tom Savage,4800,NFL,2014,V,15
QB,Matt Schaub,4800,NFL,2014,V,15
QB,Matt Simms,4800,NFL,2014,V,15
WR,Torrey Smith,4800,NFL,2014,V,15
QB,Tyrod Taylor,4800,NFL,2014,V,15
QB,Scott Tolzien,4800,NFL,2014,V,15
QB,Dustin Vaughan,4800,NFL,2014,V,15
QB,Michael Vick,4800,NFL,2014,V,15
WR,Mike Wallace,4800,NFL,2014,V,15
QB,Joe Webb,4800,NFL,2014,V,15
QB,Brandon Weeden,4800,NFL,2014,V,15
QB,T.J. Yates,4800,NFL,2014,V,15
WR,Rueben Randle,4700,NFL,2014,V,15
DEF, Patriots,4600,NFL,2014,V,15
WR,Robert Woods,4600,NFL,2014,V,15
TE,Dwayne Allen,4500,NFL,2014,V,15
DEF, Bengals,4500,NFL,2014,V,15
WR,Marques Colston,4500,NFL,2014,V,15
RB,Chris Ivory,4500,NFL,2014,V,15
TE,Julius Thomas,4500,NFL,2014,V,15
WR,Eric Decker,4400,NFL,2014,V,15
TE,Coby Fleener,4400,NFL,2014,V,15
RB,Daniel Herron,4400,NFL,2014,V,15
WR,Andre Holmes,4400,NFL,2014,V,15
WR,Greg Jennings,4400,NFL,2014,V,15
RB,Juwan Thompson,4400,NFL,2014,V,15
WR,Reggie Wayne,4400,NFL,2014,V,15
WR,Doug Baldwin,4300,NFL,2014,V,15
DEF, Dolphins,4200,NFL,2014,V,15
RB,Frank Gore,4200,NFL,2014,V,15
WR,Andrew Hawkins,4200,NFL,2014,V,15
TE,Travis Kelce,4200,NFL,2014,V,15
RB,Doug Martin,4200,NFL,2014,V,15
WR,Cecil Shorts III,4200,NFL,2014,V,15
